Time,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ,Pitch,Roll,Yaw
1743403873.08,0.018,0.040,0.028,-0.058,-0.398,0.089,9.773,21.566,-59.247,19.949,8.569,-24.871
1743403873.10,-0.009,0.010,0.013,0.122,-0.398,-0.021,9.495,21.565,-59.533,19.956,8.104,-24.799
1743403873.12,-0.090,0.048,0.019,0.553,-0.641,-0.357,8.811,21.292,-59.626,20.295,7.618,-25.074
1743403873.14,-0.126,0.085,-0.013,1.080,-0.543,-0.519,8.226,20.794,-59.951,21.155,7.117,-25.761
1743403873.16,-0.147,0.121,0.001,1.486,0.039,-0.483,7.355,19.379,-60.165,22.563,7.201,-26.601
1743403873.18,-0.133,0.148,-0.003,1.475,0.607,-0.009,7.321,17.964,-60.670,24.243,7.757,-27.205
1743403873.20,-0.101,0.121,-0.002,0.710,0.952,0.883,8.144,16.110,-61.292,25.588,8.505,-26.868
1743403873.22,-0.076,0.046,0.095,-0.069,1.475,1.370,9.391,15.081,-61.128,26.144,9.285,-25.456
1743403873.24,-0.125,0.056,0.082,-0.847,1.659,1.439,11.515,14.943,-60.776,25.906,10.265,-23.571
1743403873.26,-0.152,0.028,0.070,-1.569,1.848,1.394,13.664,15.587,-59.786,24.841,11.393,-21.516
1743403873.28,-0.103,-0.060,0.055,-1.761,1.901,1.093,15.885,16.953,-58.529,23.204,12.684,-19.506
1743403873.30,-0.072,0.010,0.142,-1.263,3.525,0.859,18.491,18.379,-57.362,21.760,15.059,-17.928
1743403873.32,-0.085,0.052,-0.140,-0.636,3.319,1.197,22.315,19.188,-55.518,21.050,18.799,-16.425
1743403873.34,-0.085,0.135,-0.139,0.040,2.822,1.340,25.801,19.490,-53.616,21.247,21.456,-14.826
1743403873.36,-0.017,0.200,0.083,-0.069,3.590,1.368,29.096,18.660,-51.942,21.944,24.651,-13.346
1743403873.38,-0.164,0.335,0.277,-1.329,4.139,1.334,32.828,18.161,-49.598,21.992,28.345,-11.487
1743403873.40,-0.346,0.411,0.344,-1.943,-0.938,1.197,36.561,18.211,-46.656,20.842,30.597,-9.004
1743403873.42,-0.441,0.356,1.079,-3.920,-1.046,0.500,36.947,19.216,-45.901,18.641,27.651,-6.542
1743403873.44,-0.016,0.630,0.598,-5.136,-1.035,1.041,35.657,21.790,-45.094,14.121,25.597,-3.261
1743403873.46,-0.035,0.727,0.331,-4.791,-0.186,1.361,34.980,25.078,-43.433,9.564,24.202,0.440
1743403873.48,0.095,0.768,0.390,-5.332,1.018,1.861,35.042,27.710,-40.915,5.111,24.124,4.479
1743403873.50,-0.197,0.771,0.257,-5.684,1.343,1.277,36.152,29.939,-37.326,0.100,25.310,8.875
1743403873.52,-0.177,0.679,0.040,-5.383,1.722,0.621,37.284,32.086,-33.428,-5.170,27.181,12.608
1743403873.54,0.070,0.533,-0.119,-4.894,2.251,0.409,38.116,33.894,-29.156,-10.047,29.948,15.941
1743403873.56,0.153,0.364,-0.276,-4.461,2.376,0.108,38.928,35.358,-24.488,-14.447,33.249,19.052
1743403873.58,0.143,0.196,-0.444,-3.750,3.073,-0.417,39.405,36.545,-20.212,-18.406,37.041,21.770
1743403873.60,0.127,0.064,-0.452,-3.121,3.986,-1.153,39.745,37.489,-15.546,-21.978,41.758,23.638
1743403873.62,0.421,0.046,-0.459,-3.199,4.249,-1.546,39.902,38.819,-11.054,-25.656,47.083,25.119
1743403873.64,1.066,0.027,-0.569,-3.155,4.140,-0.900,39.508,40.089,-5.687,-29.158,52.903,25.829
1743403873.66,1.410,-0.002,-0.748,-2.849,3.800,0.271,39.262,40.610,-0.550,-31.368,58.968,27.527
