Time,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,Pitch,Roll,Yaw,Altitude
1741962934.89,0.481,0.224,-0.462,-3.001,2.653,-1.346,-39.20,33.47,-173.97,0.00
1741962934.91,0.657,0.151,-0.638,-2.819,2.697,-1.079,-42.77,37.26,-172.91,0.00
1741962934.93,0.900,0.112,-0.714,-2.437,2.345,-0.262,-45.60,41.34,-171.12,0.00
1741962934.95,0.914,0.013,-0.709,-2.129,2.176,0.552,-47.34,45.95,-168.29,0.00
1741962934.97,0.740,-0.161,-0.802,-1.642,2.141,0.949,-48.13,50.83,-164.98,0.00
1741962934.99,0.544,-0.242,-0.816,-1.021,2.179,1.141,-48.08,55.48,-162.04,0.00
1741962935.01,0.504,-0.283,-0.792,-0.349,2.188,1.317,-47.32,59.51,-159.94,0.00
1741962935.03,0.511,-0.234,-0.629,0.149,2.319,1.599,-45.91,62.96,-158.68,0.00
1741962935.05,0.405,-0.210,-0.342,0.029,2.355,1.827,-44.06,66.40,-157.69,0.00
1741962935.07,0.150,-0.257,-0.270,-0.270,1.671,1.924,-42.12,69.64,-156.38,0.00
1741962935.09,-0.074,-0.277,-0.324,-0.253,1.188,1.847,-40.17,72.10,-155.02,0.00
1741962935.11,-0.141,-0.266,-0.277,-0.043,1.206,1.536,-38.35,74.02,-154.08,0.00
1741962935.13,-0.082,-0.188,-0.171,-0.135,1.234,1.308,-36.82,75.84,-153.49,0.00
1741962935.15,-0.234,-0.127,-0.147,-0.117,1.269,1.041,-35.54,77.62,-152.87,0.00
1741962935.17,-0.460,-0.086,-0.170,0.013,1.014,0.637,-34.62,79.14,-152.57,0.00
1741962935.19,-0.420,-0.151,-0.278,0.444,0.618,0.579,-33.93,80.02,-152.74,0.00
1741962935.21,-0.258,-0.168,-0.037,0.355,0.353,0.650,-33.17,80.20,-153.05,0.00
1741962935.23,-0.016,-0.182,-0.003,-0.161,-0.042,0.673,-32.30,80.33,-153.14,0.00
1741962935.25,0.045,0.004,0.033,-0.413,0.190,0.513,-31.73,80.67,-152.58,0.00
1741962935.27,0.121,0.091,0.065,-0.239,0.639,0.382,-31.26,81.46,-152.10,0.00
1741962935.29,0.125,0.099,0.261,-0.842,0.175,0.453,-30.90,82.38,-151.38,0.00
1741962935.31,0.012,0.087,0.328,-1.564,-0.450,0.457,-30.53,83.07,-149.66,0.00
1741962935.33,-0.163,0.009,0.193,-1.774,-1.069,0.173,-30.38,83.37,-147.40,0.00
1741962935.35,-0.284,-0.061,0.121,-1.951,-1.789,-0.114,-30.61,83.00,-144.94,0.00
1741962935.37,-0.304,-0.028,0.040,-2.147,-2.393,-0.305,-31.18,81.91,-142.24,0.00
1741962935.39,-0.231,0.034,-0.217,-1.732,-2.329,-0.417,-31.90,80.50,-139.67,0.00
1741962935.41,-0.165,0.080,-0.320,-1.008,-1.691,-0.787,-32.83,79.12,-137.99,0.00
1741962935.43,-0.108,0.127,-0.168,-0.598,-1.483,-1.069,-34.08,77.82,-137.23,0.00
1741962935.45,-0.037,0.208,0.050,-0.868,-1.695,-0.992,-35.43,76.32,-136.63,0.00
1741962935.47,0.049,0.194,0.160,-1.091,-1.423,-0.818,-36.73,75.03,-135.58,0.00
1741962935.49,0.107,0.339,0.185,-0.922,-0.631,-1.201,-38.10,74.53,-134.54,0.00
1741962935.51,0.315,0.207,0.190,-0.995,-0.649,-1.244,-39.80,74.36,-133.70,0.00
1741962935.53,0.283,0.068,0.140,-1.122,-0.403,-1.053,-41.37,74.43,-132.62,0.00
1741962935.55,0.170,0.108,-0.061,-1.061,-0.207,-0.698,-42.70,74.96,-131.34,0.00
1741962935.57,0.125,0.229,-0.153,-0.585,0.141,-0.626,-43.65,75.61,-130.32,0.00
1741962935.59,0.035,0.217,-0.003,-0.395,0.665,-0.966,-44.63,76.38,-129.94,0.00
1741962935.61,0.146,0.135,-0.028,-0.545,1.024,-1.128,-45.96,77.50,-129.60,0.00
1741962935.63,0.224,0.042,-0.013,-0.914,1.421,-1.050,-47.35,79.60,-128.79,0.00
1741962935.65,0.189,0.028,-0.023,-0.982,0.963,-0.829,-48.53,82.20,-127.34,0.00
1741962935.67,-0.160,-0.131,-0.108,-0.769,-0.316,-1.327,-49.83,83.53,-126.04,0.00
1741962935.69,-0.246,-0.054,-0.243,-0.382,-1.803,-2.125,-51.89,82.84,-125.37,0.00
1741962935.71,-0.261,-0.131,-0.122,-0.303,-2.589,-2.334,-54.52,80.21,-125.43,-0.10
1741962935.73,-0.186,-0.193,0.064,-0.591,-2.075,-2.190,-57.15,77.39,-125.47,-0.10
1741962935.75,-0.177,-0.210,0.070,-0.888,-0.926,-1.960,-59.68,76.20,-124.93,-0.10
1741962935.77,-0.133,-0.248,0.007,-0.961,-0.935,-1.407,-61.81,76.23,-123.74,-0.10
1741962935.79,-0.054,-0.255,-0.004,-1.132,-1.162,-1.164,-63.48,76.61,-121.98,-0.10
1741962935.81,0.027,-0.222,0.050,-1.659,-0.578,-1.315,-65.18,78.00,-119.18,-0.10
1741962935.83,0.174,-0.199,0.222,-2.207,0.818,-1.724,-67.24,82.52,-114.43,-0.10
1741962935.85,0.259,-0.145,0.126,-1.491,1.152,-2.497,-69.77,88.91,-108.85,-0.10
1741962935.86,0.081,-0.190,0.062,-0.280,1.444,-3.544,-73.20,93.50,-105.57,-0.10
1741962935.88,-0.156,-0.363,-0.065,0.382,1.365,-4.287,-77.72,96.23,-104.35,-0.10
1741962935.91,-0.204,-0.269,-0.049,0.572,1.094,-4.400,-82.81,97.75,-104.08,-0.10
1741962935.92,-0.341,0.190,-0.027,0.351,0.821,-2.906,-87.15,100.08,-102.75,-0.10
1741962935.94,-0.398,0.568,-0.067,-0.279,0.282,-1.395,-89.36,135.84,-67.60,-0.10
1741962935.96,-0.217,0.510,-0.254,-0.970,-1.848,-1.201,-88.49,-142.97,14.54,-0.10
1741962935.98,0.107,0.034,-0.001,-1.391,-2.023,-1.509,-86.43,-138.27,21.76,-0.10
1741962936.00,0.064,0.341,0.106,-1.387,-1.323,-1.259,-84.13,-138.63,23.38,-0.10
1741962936.02,0.147,0.406,0.064,-0.888,-0.716,-0.875,-82.32,-139.48,23.81,-0.10
1741962936.04,0.245,0.331,-0.012,-0.173,-0.319,-0.338,-81.39,-138.94,25.02,-0.10
1741962936.06,0.268,0.053,-0.104,0.223,0.017,0.240,-81.45,-138.80,25.50,-0.10
1741962936.08,0.127,-0.068,-0.061,0.185,0.386,0.317,-81.85,-139.11,25.03,-0.10
1741962936.10,0.071,-0.053,0.000,0.132,0.450,0.398,-82.25,-139.99,23.74,-0.10
1741962936.12,-0.001,-0.013,-0.018,-0.114,0.051,0.413,-82.61,-142.24,21.27,-0.10
1741962936.14,-0.025,-0.292,-0.005,-0.569,-0.403,-0.359,-82.20,-143.96,19.81,-0.10
1741962936.16,-0.113,-0.035,-0.005,-0.403,-0.654,-0.153,-81.62,-145.66,18.85,-0.10
1741962936.18,-0.084,0.056,-0.040,-0.132,-0.581,-0.484,-81.15,-145.43,19.90,-0.10
1741962936.20,-0.039,0.011,-0.075,0.053,-0.391,-0.433,-80.79,-143.35,22.69,-0.10
1741962936.22,0.002,-0.053,-0.019,0.005,-0.081,-0.154,-80.64,-141.79,24.65,-0.10
1741962936.24,-0.003,0.069,0.031,0.000,0.169,-0.207,-80.52,-140.97,25.51,-0.10
1741962936.26,-0.017,0.024,0.017,0.146,0.171,-0.348,-80.36,-139.08,27.34,-0.10
1741962936.28,-0.012,-0.005,-0.001,0.527,0.237,-0.320,-80.35,-135.53,30.81,-0.10
1741962936.30,-0.028,-0.022,0.004,0.400,0.329,-0.070,-80.63,-131.78,34.38,-0.10
1741962936.32,-0.058,0.151,0.005,0.076,0.146,-0.247,-80.67,-129.81,36.17,-0.10
1741962936.34,-0.010,0.062,0.002,0.165,0.190,-0.365,-80.45,-127.62,38.33,-0.10
1741962936.36,0.017,0.050,-0.032,0.163,0.131,-0.261,-80.28,-125.18,40.67,-0.10
1741962936.38,0.019,0.138,-0.074,-0.037,-0.306,-0.212,-80.11,-123.97,42.06,-0.10
1741962936.40,0.044,-0.073,-0.097,0.032,-0.628,0.046,-79.96,-124.35,42.36,-0.10
1741962936.42,-0.007,-0.196,0.002,0.243,-0.187,0.403,-80.28,-124.82,42.49,-0.10
1741962936.44,-0.118,-0.196,0.056,-0.168,0.006,0.750,-80.89,-126.94,40.46,-0.10
1741962936.46,-0.225,0.099,0.101,-0.645,0.352,0.511,-81.20,-132.22,35.09,-0.10
1741962936.48,-0.189,0.179,0.116,-0.833,1.014,-0.217,-80.68,-135.19,31.20,-0.10
1741962936.50,-0.077,-0.243,-0.075,-0.349,0.730,-0.328,-79.92,-136.37,29.12,-0.10
1741962936.52,0.007,-0.073,0.024,0.545,0.957,-0.824,-79.56,-132.20,32.47,-0.10
