Time,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,Pitch,Roll,Yaw,Altitude
1741962938.90,-0.120,-0.016,0.079,-0.099,-0.373,0.019,-87.44,-65.03,63.67,-0.49
1741962938.92,-0.135,-0.009,0.013,-0.102,0.225,0.054,-87.53,-67.26,61.46,-0.49
1741962938.94,-0.136,0.006,-0.029,-0.103,0.506,0.044,-87.63,-68.65,59.58,-0.49
1741962938.95,-0.110,-0.001,-0.017,-0.143,0.665,-0.001,-87.70,-71.06,56.46,-0.49
1741962938.98,-0.064,-0.020,0.003,-0.104,0.793,-0.076,-87.71,-74.22,52.41,-0.49
1741962938.99,-0.016,-0.013,0.011,0.006,0.700,-0.125,-87.61,-75.35,50.35,-0.49
1741962939.01,-0.008,0.007,0.038,-0.003,0.381,-0.173,-87.45,-75.43,49.57,-0.49
1741962939.03,0.021,0.068,0.069,-0.043,-0.133,-0.267,-87.21,-77.21,47.60,-0.49
1741962939.05,0.075,0.045,0.121,-0.046,-0.487,-0.322,-86.88,-79.86,45.26,-0.49
1741962939.07,0.127,-0.023,0.126,-0.136,-0.381,-0.266,-86.56,-82.92,42.70,-0.49
1741962939.09,0.153,-0.001,0.011,-0.200,0.392,-0.206,-86.32,-86.65,38.93,-0.49
1741962939.11,0.128,0.060,-0.188,0.038,0.868,-0.171,-86.10,-87.83,36.90,-0.49
1741962939.13,0.042,0.063,-0.150,0.331,0.867,-0.078,-85.94,-83.71,39.97,-0.49
1741962939.15,-0.080,-0.024,-0.061,0.357,0.707,0.045,-85.85,-77.08,45.65,-0.49
1741962939.17,-0.132,-0.104,-0.082,0.142,0.451,0.081,-85.85,-72.18,49.85,-0.49
1741962939.19,-0.096,-0.131,-0.060,0.021,0.629,0.014,-85.88,-70.46,50.95,-0.49
1741962939.21,-0.000,-0.049,-0.073,0.090,0.728,-0.003,-85.87,-68.87,51.66,-0.49
1741962939.23,0.119,0.119,-0.053,0.161,0.293,-0.046,-85.79,-66.56,53.29,-0.49
1741962939.25,0.185,0.148,-0.002,0.270,-0.268,-0.046,-85.63,-63.94,55.87,-0.49
1741962939.27,0.075,-0.001,0.145,0.243,-0.393,0.035,-85.48,-60.91,59.26,-0.49
1741962939.29,-0.093,-0.114,0.205,0.120,-0.180,0.068,-85.43,-58.53,61.96,-0.49
1741962939.31,-0.193,-0.091,0.203,-0.081,0.245,0.046,-85.47,-57.78,62.62,-0.49
1741962939.33,-0.236,-0.036,0.103,-0.227,0.395,0.045,-85.61,-59.06,60.86,-0.49
1741962939.35,-0.166,0.014,-0.011,-0.140,0.205,-0.043,-85.73,-61.36,58.15,-0.49
1741962939.37,-0.037,0.016,-0.053,0.089,0.083,-0.054,-85.69,-61.96,57.35,-0.49
1741962939.39,0.022,0.026,-0.027,0.248,0.132,-0.006,-85.56,-59.73,59.41,-0.49
1741962939.41,0.013,0.024,0.014,0.312,0.062,0.083,-85.41,-55.86,63.11,-0.49
1741962939.43,-0.044,0.007,0.102,0.376,0.085,0.143,-85.29,-50.91,67.97,-0.49
1741962939.45,-0.100,-0.009,0.152,0.401,0.393,0.162,-85.12,-45.30,73.29,-0.49
1741962939.47,-0.095,-0.007,0.113,0.426,0.630,0.191,-84.91,-39.41,78.54,-0.49
1741962939.49,-0.046,0.029,0.075,0.554,0.743,0.168,-84.59,-33.21,83.91,-0.49
1741962939.51,-0.013,0.040,0.063,0.777,0.699,0.154,-84.02,-27.04,89.20,-0.49
1741962939.53,-0.032,0.046,0.056,0.941,0.431,0.220,-83.20,-21.08,94.48,-0.49
1741962939.55,-0.091,0.040,0.018,1.006,0.356,0.248,-82.23,-15.82,99.31,-0.49
1741962939.57,-0.076,-0.023,-0.016,1.014,0.494,0.159,-81.16,-11.84,102.79,-0.49
1741962939.59,0.009,-0.046,0.018,1.068,0.709,0.105,-80.02,-9.09,104.84,-0.49
1741962939.61,0.068,0.005,0.062,1.146,0.966,0.246,-78.79,-6.23,106.73,-0.49
1741962939.63,0.029,0.023,0.089,1.108,1.177,0.442,-77.53,-2.64,109.09,-0.49
1741962939.65,-0.055,-0.052,-0.040,1.007,1.321,0.549,-76.33,1.39,111.68,-0.49
1741962939.67,-0.031,-0.141,-0.019,1.004,1.062,0.540,-75.16,4.95,113.87,-0.49
1741962939.69,0.058,-0.172,0.031,1.154,0.960,0.599,-73.87,7.90,115.75,-0.49
1741962939.71,0.125,-0.083,-0.158,1.364,0.603,0.632,-72.31,10.38,117.26,-0.49
1741962939.73,0.055,-0.032,-0.034,1.247,0.237,0.610,-70.70,12.00,118.54,-0.49
1741962939.75,0.003,-0.082,0.048,1.209,0.780,0.591,-69.20,13.56,119.52,-0.49
1741962939.77,-0.011,-0.119,-0.052,1.301,0.787,0.693,-67.63,15.38,120.43,-0.49
1741962939.79,0.007,-0.074,-0.025,1.364,0.555,0.773,-65.93,17.07,121.37,-0.53
1741962939.81,-0.005,-0.018,0.028,1.371,0.372,0.712,-64.18,18.26,122.13,-0.53
1741962939.83,0.027,-0.038,0.094,1.320,0.742,0.632,-62.46,19.35,122.56,-0.53
1741962939.85,0.089,-0.050,0.073,1.071,0.496,0.727,-60.92,20.57,123.03,-0.53
1741962939.87,0.062,-0.038,-0.046,1.264,0.487,0.860,-59.39,21.78,123.76,-0.53
1741962939.89,-0.011,0.008,-0.127,1.361,0.190,0.893,-57.58,22.76,124.40,-0.53
1741962939.91,-0.061,0.045,0.141,1.338,0.207,0.747,-55.81,23.38,124.86,-0.53
1741962939.93,-0.092,-0.050,-0.004,1.428,-0.037,0.695,-54.02,23.63,124.99,-0.53
1741962939.95,-0.044,-0.051,0.041,1.243,0.174,0.744,-52.28,23.86,125.14,-0.53
1741962939.97,-0.014,0.050,0.049,1.033,0.452,0.752,-50.76,24.54,125.52,-0.53
1741962939.99,-0.005,0.126,-0.002,1.069,0.515,0.784,-49.31,25.46,125.90,-0.53
1741962940.01,-0.031,0.105,-0.047,1.051,0.335,0.810,-47.81,26.26,126.30,-0.53
1741962940.03,-0.046,-0.006,-0.041,1.195,0.180,0.734,-46.30,26.85,126.61,-0.53
1741962940.05,-0.051,-0.094,-0.035,1.490,-0.001,0.617,-44.57,26.92,126.52,-0.53
1741962940.07,-0.012,-0.111,-0.097,1.491,-0.176,0.569,-42.72,26.61,126.23,-0.53
1741962940.09,-0.015,-0.034,0.008,1.358,-0.002,0.463,-41.01,26.37,125.90,-0.53
1741962940.11,-0.132,-0.046,-0.029,1.390,0.070,0.443,-39.39,26.21,125.55,-0.53
1741962940.13,-0.095,-0.082,0.072,1.429,0.293,0.485,-37.71,26.19,125.19,-0.53
1741962940.15,0.066,-0.077,0.134,1.484,0.273,0.525,-35.97,26.41,124.86,-0.53
1741962940.17,0.086,-0.012,0.055,1.506,0.135,0.513,-34.15,26.48,124.52,-0.53
1741962940.19,0.051,0.031,-0.034,1.333,0.123,0.526,-32.43,26.47,124.24,-0.53
1741962940.21,-0.056,0.022,-0.036,1.370,0.121,0.452,-30.82,26.53,123.98,-0.53
1741962940.23,-0.029,-0.035,0.065,1.555,-0.038,0.439,-29.11,26.41,123.59,-0.53
1741962940.25,0.109,-0.070,0.104,1.646,-0.255,0.531,-27.20,26.06,123.21,-0.53
1741962940.27,0.013,-0.026,0.073,1.716,-0.170,0.451,-25.23,25.64,122.79,-0.53
1741962940.29,-0.187,-0.088,-0.069,1.598,0.196,0.452,-23.28,25.48,122.33,-0.53
1741962940.31,-0.058,-0.113,0.014,1.652,0.213,0.479,-21.43,25.66,121.96,-0.53
1741962940.33,0.088,-0.068,0.087,2.106,-0.293,0.258,-19.30,25.42,121.34,-0.53
1741962940.35,0.089,-0.069,0.057,2.317,-0.561,-0.022,-16.92,24.61,120.25,-0.53
1741962940.37,-0.067,0.160,0.067,1.876,-0.337,0.087,-14.69,23.76,119.13,-0.53
1741962940.39,-0.033,0.171,0.021,1.587,0.010,0.591,-12.80,23.51,118.71,-0.53
1741962940.41,0.131,-0.076,0.022,1.816,-0.098,0.627,-10.71,23.46,118.61,-0.53
1741962940.43,0.324,-0.275,0.231,1.827,-0.097,0.578,-8.52,23.31,118.39,-0.53
1741962940.45,0.066,-0.085,0.226,1.701,0.025,0.684,-6.37,23.25,118.24,-0.53
1741962940.47,-0.208,0.142,-0.059,1.537,0.000,0.729,-4.36,23.25,118.28,-0.53
1741962940.49,-0.189,0.130,-0.241,1.710,-0.050,0.497,-2.39,23.28,118.21,-0.53
1741962940.51,0.083,-0.100,-0.194,1.912,-0.570,0.242,-0.32,22.91,117.78,-0.53
1741962940.53,0.030,-0.182,-0.008,1.896,-0.493,0.262,1.80,22.23,117.14,-0.53
1741962940.55,-0.049,-0.087,0.182,1.724,0.108,0.508,3.89,22.02,116.78,-0.53
1741962940.57,-0.101,0.080,-0.059,1.399,0.392,0.461,5.73,22.29,116.66,-0.53
1741962940.59,0.062,0.114,-0.205,1.322,0.370,0.410,7.36,22.86,116.50,-0.53
1741962940.61,0.414,0.013,-0.287,1.333,-0.192,0.536,8.94,22.96,116.40,-0.53
1741962940.63,0.194,-0.127,-0.194,1.220,-0.239,0.643,10.57,22.64,116.46,-0.53
1741962940.65,-0.183,-0.013,-0.076,1.049,0.117,0.619,12.05,22.52,116.65,-0.53
1741962940.67,-0.345,0.134,-0.028,0.966,0.333,0.361,13.35,22.84,116.77,-0.53
1741962940.69,0.137,-0.025,-0.212,0.970,0.185,0.156,14.44,23.17,116.58,-0.53
1741962940.71,0.280,-0.007,-0.271,1.025,-0.410,0.116,15.55,23.14,116.25,-0.53
1741962940.73,0.044,-0.043,-0.155,0.923,-0.451,0.086,16.64,22.68,115.90,-0.53
1741962940.75,-0.143,-0.051,-0.094,0.683,-0.042,-0.075,17.49,22.49,115.56,-0.53
1741962940.77,-0.024,-0.013,-0.099,0.567,0.027,-0.217,18.07,22.67,115.09,-0.53
1741962940.79,0.113,-0.009,-0.081,0.476,-0.178,-0.254,18.52,22.76,114.60,-0.60
1741962940.81,0.222,-0.063,-0.216,0.429,-0.482,-0.278,18.88,22.54,114.08,-0.60
1741962940.83,0.076,-0.098,-0.114,0.269,-0.570,-0.276,19.14,22.06,113.61,-0.60
1741962940.85,-0.051,-0.152,-0.020,0.085,-0.280,-0.353,19.19,21.69,113.18,-0.60
1741962940.87,0.026,-0.168,-0.128,-0.194,-0.053,-0.390,18.98,21.67,112.78,-0.60
1741962940.89,0.153,-0.124,-0.235,-0.348,-0.064,-0.298,18.55,21.71,112.52,-0.60
1741962940.91,0.132,-0.106,-0.231,-0.621,-0.161,-0.293,17.90,21.58,112.41,-0.60
1741962940.93,0.043,-0.150,-0.171,-0.797,-0.058,-0.351,17.02,21.47,112.36,-0.60
1741962940.95,0.007,-0.070,-0.166,-1.085,0.134,-0.334,15.88,21.51,112.39,-0.60
1741962940.97,0.043,-0.062,-0.341,-1.228,0.180,-0.354,14.49,21.66,112.51,-0.60
1741962940.99,0.038,-0.042,-0.237,-1.386,0.116,-0.410,12.94,21.79,112.67,-0.60
1741962941.01,0.030,-0.022,-0.179,-1.517,0.033,-0.444,11.21,21.84,112.84,-0.60
1741962941.03,-0.024,0.011,-0.150,-1.581,0.104,-0.437,9.39,21.87,113.03,-0.60
1741962941.05,-0.083,0.040,-0.211,-1.755,0.142,-0.491,7.42,21.98,113.26,-0.60
1741962941.07,0.014,0.044,-0.217,-1.798,0.076,-0.574,5.31,22.11,113.46,-0.60
1741962941.09,0.119,0.007,-0.129,-1.877,-0.044,-0.531,3.13,22.10,113.64,-0.60
1741962941.11,0.116,0.011,-0.076,-2.029,-0.036,-0.337,0.88,22.05,114.01,-0.60
1741962941.13,0.137,0.035,-0.069,-2.122,-0.166,-0.198,-1.44,21.95,114.65,-0.60
1741962941.15,0.034,-0.006,-0.015,-2.029,-0.258,-0.233,-3.72,21.72,115.30,-0.60
1741962941.17,-0.009,-0.100,-0.051,-2.194,-0.230,-0.188,-6.05,21.49,115.96,-0.60
1741962941.19,0.070,-0.085,-0.013,-2.134,-0.225,-0.105,-8.42,21.35,116.72,-0.60
1741962941.21,0.049,-0.018,0.064,-2.008,-0.458,-0.145,-10.68,21.12,117.47,-0.60
1741962941.23,-0.074,-0.058,-0.007,-1.864,-0.577,-0.287,-12.82,20.59,118.04,-0.60
1741962941.25,-0.187,-0.071,0.056,-1.894,-0.168,-0.426,-14.97,20.25,118.41,-0.60
1741962941.27,-0.135,-0.119,0.075,-1.894,-0.101,-0.457,-17.20,20.19,118.70,-0.60
1741962941.29,-0.004,-0.163,0.016,-1.742,-0.077,-0.499,-19.32,20.18,118.92,-0.60
1741962941.31,0.015,-0.147,0.046,-1.670,-0.110,-0.594,-21.36,20.09,119.01,-0.60
1741962941.33,0.017,-0.132,0.023,-1.682,-0.036,-0.647,-23.40,19.99,118.99,-0.60
1741962941.35,0.026,-0.116,0.017,-1.795,0.134,-0.620,-25.51,20.02,118.97,-0.60
1741962941.37,0.142,-0.143,0.053,-1.915,0.351,-0.471,-27.72,20.40,119.13,-0.60
1741962941.39,0.194,-0.126,0.008,-1.866,0.237,-0.413,-29.94,20.92,119.49,-0.60
1741962941.41,0.168,-0.095,0.060,-1.767,-0.065,-0.538,-32.06,21.18,119.78,-0.60
1741962941.43,0.128,-0.089,0.014,-1.800,-0.286,-0.627,-34.19,21.00,119.89,-0.60
1741962941.45,0.131,-0.124,0.008,-1.953,-0.136,-0.507,-36.43,20.85,120.08,-0.60
1741962941.47,0.096,-0.152,-0.021,-1.986,-0.058,-0.414,-38.73,21.01,120.50,-0.60
1741962941.49,0.011,-0.146,0.078,-1.839,-0.132,-0.521,-40.96,21.18,120.90,-0.60
1741962941.51,-0.081,-0.098,0.010,-1.717,-0.565,-0.745,-43.10,20.84,120.96,-0.60
1741962941.53,-0.036,-0.047,-0.002,-1.782,-0.506,-0.778,-45.27,20.01,120.75,-0.60
1741962941.55,0.063,-0.050,0.070,-2.002,-0.204,-0.608,-47.58,19.61,120.71,-0.60
1741962941.57,0.113,-0.096,-0.018,-1.998,-0.282,-0.400,-49.94,19.63,121.09,-0.60
1741962941.59,0.041,-0.090,-0.039,-1.809,-0.509,-0.373,-52.14,19.60,121.62,-0.60
1741962941.61,-0.018,-0.077,-0.038,-1.662,-0.782,-0.572,-54.17,19.07,121.88,-0.60
1741962941.63,0.003,-0.106,0.033,-1.729,-0.888,-0.707,-56.23,17.93,121.69,-0.60
1741962941.65,0.052,-0.126,0.107,-1.852,-0.750,-0.553,-58.40,16.86,121.53,-0.60
1741962941.67,0.030,-0.115,0.123,-1.861,-0.646,-0.346,-60.60,16.25,121.76,-0.60
1741962941.69,-0.027,-0.038,0.030,-1.684,-0.594,-0.210,-62.64,16.07,122.34,-0.60
1741962941.71,-0.085,0.033,-0.050,-1.572,-0.744,-0.262,-64.48,15.86,122.94,-0.60
1741962941.73,-0.100,0.041,0.020,-1.569,-0.952,-0.443,-66.31,15.09,123.16,-0.60
1741962941.75,-0.024,-0.007,0.032,-1.606,-0.909,-0.475,-68.20,13.80,122.94,-0.60
1741962941.77,0.053,-0.071,0.162,-1.739,-0.664,-0.224,-70.15,13.02,123.08,-0.60
1741962941.79,-0.010,-0.037,0.095,-1.609,-0.263,-0.205,-72.09,13.15,123.80,-0.60
1741962941.81,-0.103,0.008,-0.049,-1.382,-0.090,-0.526,-73.83,12.97,123.77,-0.60
1741962941.83,-0.097,0.007,-0.029,-1.490,-0.362,-0.773,-75.57,11.25,122.22,-0.60
1741962941.85,-0.027,-0.007,0.054,-1.621,-0.657,-0.730,-77.48,8.28,119.78,-0.60
1741962941.87,0.068,0.018,0.093,-1.520,-0.653,-0.511,-79.38,5.12,117.35,-0.60
1741962941.89,0.077,-0.011,0.033,-1.190,-0.305,-0.397,-80.96,2.24,115.00,-0.60
1741962941.91,0.022,-0.069,-0.030,-0.990,-0.094,-0.469,-82.19,-1.16,111.76,-0.60
1741962941.93,-0.033,-0.091,-0.046,-0.957,-0.120,-0.535,-83.25,-6.38,106.61,-0.60
1741962941.95,-0.035,-0.093,-0.074,-0.985,-0.219,-0.455,-84.24,-13.59,99.54,-0.60
1741962941.97,0.014,-0.064,-0.044,-0.935,-0.448,-0.174,-85.19,-21.35,92.12,-0.60
1741962941.98,0.009,-0.056,-0.026,-0.886,-0.696,-0.027,-86.09,-28.55,85.58,-0.60
1741962942.01,-0.017,-0.043,0.030,-0.884,-0.574,-0.146,-86.88,-39.98,74.88,-0.60
1741962942.03,-0.018,-0.032,0.034,-0.783,-0.302,-0.216,-87.36,-57.71,57.63,-0.60
1741962942.05,-0.021,-0.031,-0.014,-0.573,-0.168,-0.169,-87.46,-75.98,39.59,-0.60
1741962942.06,-0.010,-0.016,0.006,-0.302,-0.117,-0.034,-87.41,-87.61,28.11,-0.60
1741962942.08,-0.012,0.010,0.064,-0.113,-0.025,0.067,-87.44,-92.76,23.04,-0.60
1741962942.10,-0.037,0.012,0.130,-0.093,0.014,0.117,-87.54,-95.10,20.70,-0.60
1741962942.13,-0.046,-0.028,0.237,-0.269,0.008,0.308,-87.75,-100.77,15.02,-0.60
1741962942.14,-0.135,-0.008,0.218,-0.449,0.062,0.420,-88.03,-115.07,0.67,-0.60
1741962942.16,-0.207,0.044,0.147,-0.534,0.088,0.357,-88.07,-136.70,-21.06,-0.60
1741962942.18,-0.265,0.067,0.052,-0.473,0.020,0.122,-87.75,-152.35,-36.81,-0.60
1741962942.20,-0.224,0.031,-0.043,-0.241,-0.108,-0.072,-87.37,-156.89,-41.29,-0.60
1741962942.22,-0.090,-0.007,-0.030,0.022,-0.035,-0.070,-87.23,-156.16,-40.46,-0.60
1741962942.24,-0.024,-0.010,0.024,0.175,0.096,0.002,-87.32,-154.32,-38.65,-0.60
1741962942.26,-0.030,-0.008,0.065,0.162,0.140,-0.008,-87.51,-152.23,-36.71,-0.60
1741962942.28,-0.065,0.001,0.044,0.047,-0.008,-0.035,-87.60,-150.14,-34.70,-0.60
1741962942.30,-0.071,0.007,0.010,-0.023,-0.040,-0.053,-87.58,-149.19,-33.70,-0.60
1741962942.32,-0.017,-0.020,0.018,0.080,0.144,-0.042,-87.56,-147.72,-32.30,-0.60
1741962942.34,0.008,-0.047,0.048,0.268,0.133,0.020,-87.72,-144.54,-29.31,-0.60
1741962942.36,-0.006,-0.016,0.051,0.323,-0.102,0.021,-88.01,-139.23,-24.02,-0.60
1741962942.38,-0.000,0.032,0.024,0.288,-0.291,0.019,-88.25,-132.18,-16.74,-0.60
1741962942.40,0.005,0.043,0.007,0.339,-0.304,0.083,-88.50,-124.11,-8.31,-0.60
1741962942.42,-0.019,0.006,0.027,0.502,-0.179,0.152,-88.83,-109.06,7.01,-0.60
1741962942.44,-0.067,-0.025,0.052,0.689,-0.087,0.199,-89.05,-71.67,44.55,-0.60
1741962942.46,-0.107,-0.032,0.061,0.836,-0.025,0.205,-88.65,-29.52,86.77,-0.60
1741962942.48,-0.126,-0.019,0.049,0.966,0.047,0.153,-87.75,-11.64,104.64,-0.60
1741962942.50,-0.124,-0.008,0.028,1.132,0.242,0.086,-86.59,-5.27,110.85,-0.60
1741962942.52,-0.087,-0.045,0.035,1.405,0.613,0.121,-85.16,-2.05,113.60,-0.60
1741962942.54,-0.057,-0.078,0.071,1.665,1.057,0.273,-83.40,1.26,115.96,-0.60
1741962942.56,-0.033,-0.055,-0.307,1.446,0.363,0.322,-81.56,4.25,117.98,-0.60
1741962942.58,-0.007,-0.139,-0.034,1.746,1.075,0.288,-79.79,6.08,119.25,-0.60
1741962942.60,0.003,-0.125,0.243,2.206,2.265,0.148,-77.49,7.92,119.05,-0.60
1741962942.62,-0.001,-0.084,0.026,2.082,1.950,0.196,-74.97,9.62,118.10,-0.60
1741962942.64,0.035,-0.004,-0.178,1.247,-0.104,0.371,-73.06,10.58,118.01,-0.60
1741962942.67,0.156,-0.013,0.121,1.439,0.325,0.595,-71.54,11.34,118.84,-0.59
1741962942.68,0.137,-0.101,0.184,1.752,1.314,0.785,-69.54,13.40,119.94,-0.59
1741962942.70,0.094,-0.120,0.140,1.502,1.391,0.931,-67.47,16.24,121.19,-0.59
1741962942.72,0.075,-0.071,-0.227,1.440,-0.514,0.911,-65.57,18.08,122.54,-0.59
1741962942.74,-0.017,0.013,0.069,1.664,0.045,0.619,-63.59,18.08,123.15,-0.59
1741962942.76,-0.010,0.060,0.103,1.162,0.919,0.496,-61.81,18.94,123.23,-0.59
1741962942.78,0.070,0.083,0.057,1.008,0.373,0.598,-60.53,20.02,123.62,-0.59
1741962942.80,0.092,0.134,0.081,1.542,0.534,0.731,-58.92,20.85,124.01,-0.59
1741962942.82,-0.068,0.135,0.022,1.717,-0.173,0.629,-56.83,21.36,124.11,-0.59
1741962942.84,-0.217,-0.011,-0.170,1.560,-0.336,0.528,-54.84,20.65,123.89,-0.59
1741962942.86,-0.050,-0.097,0.005,1.134,0.768,0.559,-53.17,21.03,123.95,-0.59
1741962942.88,0.001,-0.081,0.110,0.918,0.544,0.527,-51.91,22.10,124.18,-0.59
1741962942.90,-0.000,-0.008,0.007,1.353,0.176,0.585,-50.50,22.62,124.34,-0.59
1741962942.92,-0.061,0.085,-0.032,1.608,0.104,0.465,-48.64,22.63,124.15,-0.59
1741962942.94,-0.069,0.058,-0.085,1.417,0.179,0.370,-46.87,22.50,123.76,-0.59
1741962942.96,0.075,-0.004,0.049,1.278,0.451,0.511,-45.26,22.74,123.54,-0.59
1741962942.98,0.102,-0.076,0.107,1.369,0.260,0.616,-43.64,23.18,123.53,-0.59
1741962943.00,0.070,-0.202,0.077,1.688,-0.033,0.668,-41.76,23.33,123.50,-0.59
1741962943.02,0.033,-0.226,0.106,1.889,-0.100,0.586,-39.57,23.07,123.28,-0.59
1741962943.04,0.084,-0.135,0.023,1.822,-0.048,0.496,-37.35,22.79,122.91,-0.59
1741962943.06,0.182,-0.033,0.112,1.401,0.123,0.535,-35.41,22.69,122.64,-0.59
1741962943.08,0.113,0.013,0.078,1.300,-0.024,0.877,-33.74,22.87,122.81,-0.59
1741962943.10,-0.081,0.114,0.065,1.561,-0.160,0.894,-31.81,22.97,123.17,-0.59
1741962943.12,-0.137,0.037,0.084,1.682,-0.380,0.797,-29.75,22.77,123.32,-0.59
1741962943.14,-0.117,-0.028,-0.099,1.855,-0.198,0.627,-27.53,22.38,123.28,-0.59
1741962943.16,-0.132,-0.043,-0.117,1.464,0.011,0.508,-25.53,22.22,123.07,-0.59
1741962943.18,-0.067,0.045,0.065,1.375,0.057,0.669,-23.81,22.28,123.07,-0.59
1741962943.20,-0.115,0.089,0.147,1.682,-0.101,0.659,-21.91,22.32,123.09,-0.59
1741962943.22,-0.092,-0.118,0.031,1.854,-0.310,0.691,-19.74,22.02,122.99,-0.59
1741962943.24,-0.016,-0.286,-0.201,1.761,0.148,0.537,-17.53,21.82,122.84,-0.59
1741962943.26,-0.089,-0.215,0.034,1.582,0.379,0.320,-15.59,22.10,122.54,-0.59
1741962943.28,-0.104,-0.060,0.183,1.781,0.279,0.191,-13.74,22.37,122.07,-0.59
1741962943.30,0.012,0.067,0.148,2.051,-0.137,0.268,-11.61,22.35,121.44,-0.59
1741962943.32,0.167,0.027,-0.095,1.969,-0.392,0.356,-9.33,21.87,120.87,-0.59
1741962943.34,0.081,-0.147,-0.179,1.751,0.182,0.413,-7.19,21.66,120.51,-0.59
1741962943.36,-0.093,-0.063,0.093,1.675,0.612,0.425,-5.20,22.12,120.23,-0.59
1741962943.38,-0.092,0.126,0.255,1.656,0.673,0.486,-3.26,22.87,119.98,-0.59
1741962943.40,0.071,0.225,-0.007,1.779,0.226,0.525,-1.24,23.41,119.75,-0.59
1741962943.42,0.325,0.100,-0.305,1.794,-0.249,0.573,0.90,23.34,119.52,-0.59
1741962943.44,0.000,-0.238,-0.251,1.716,-0.012,0.431,2.99,23.18,119.25,-0.59
1741962943.46,-0.144,-0.111,0.020,1.467,0.460,0.480,4.84,23.43,119.00,-0.59
1741962943.48,-0.031,0.230,0.024,1.416,0.398,0.518,6.56,23.98,118.88,-0.59
1741962943.50,-0.024,0.328,-0.036,1.546,0.132,0.454,8.35,24.32,118.70,-0.59
1741962943.52,0.125,0.009,-0.229,1.565,-0.060,0.375,10.14,24.39,118.39,-0.59
1741962943.54,0.186,-0.231,-0.153,1.456,-0.151,0.364,11.91,24.31,118.04,-0.59
1741962943.56,0.038,-0.185,-0.031,1.235,0.168,0.447,13.49,24.36,117.83,-0.59
1741962943.58,-0.045,-0.031,0.023,1.056,0.422,0.427,14.92,24.74,117.75,-0.59
1741962943.60,0.042,0.083,-0.126,1.060,0.450,0.399,16.20,25.30,117.67,-0.59
1741962943.62,0.199,-0.028,-0.234,0.892,0.214,0.397,17.39,25.69,117.58,-0.59
1741962943.64,0.265,-0.111,-0.307,0.713,-0.026,0.477,18.45,25.77,117.63,-0.59
1741962943.66,0.063,-0.151,-0.184,0.399,0.101,0.494,19.28,25.71,117.87,-0.59
1741962943.68,-0.042,-0.152,-0.176,0.074,0.402,0.391,19.74,25.88,118.23,-0.59
1741962943.70,0.124,-0.203,-0.267,-0.228,0.412,0.226,19.80,26.23,118.61,-0.59
1741962943.72,0.315,-0.168,-0.215,-0.489,0.360,0.185,19.53,26.53,119.01,-0.59
1741962943.74,0.090,-0.177,-0.261,-0.832,0.324,0.131,18.97,26.75,119.55,-0.59
1741962943.76,0.065,-0.179,-0.290,-1.216,0.488,0.053,17.96,26.99,120.20,-0.59
1741962943.78,0.137,-0.191,-0.348,-1.464,0.366,-0.112,16.57,27.31,120.92,-0.59
1741962943.80,0.163,-0.111,-0.278,-1.519,0.059,-0.324,14.94,27.38,121.50,-0.59
1741962943.82,0.092,-0.036,-0.203,-1.661,-0.028,-0.419,13.14,27.27,121.95,-0.59
1741962943.84,0.153,-0.032,-0.163,-1.916,0.084,-0.300,11.13,27.16,122.53,-0.59
1741962943.86,0.179,-0.032,-0.116,-2.031,-0.041,-0.212,9.00,27.12,123.32,-0.59
1741962943.88,0.111,-0.017,-0.093,-2.018,-0.306,-0.300,6.79,26.79,124.14,-0.59
1741962943.90,0.021,-0.048,-0.154,-2.080,-0.354,-0.431,4.52,26.33,124.79,-0.59
1741962943.92,0.049,-0.015,-0.107,-2.136,-0.326,-0.328,2.16,25.94,125.46,-0.59
1741962943.94,0.016,0.019,-0.067,-2.082,-0.571,-0.410,-0.21,25.39,126.16,-0.59
1741962943.96,-0.096,-0.004,-0.075,-1.987,-0.375,-0.681,-2.56,24.82,126.58,-0.59
1741962943.98,-0.187,-0.053,-0.045,-2.023,-0.190,-0.820,-5.01,24.53,126.73,-0.59
1741962944.00,-0.013,-0.028,0.019,-2.095,-0.097,-0.678,-7.51,24.39,126.92,-0.59
1741962944.02,0.063,-0.032,0.034,-2.026,-0.141,-0.580,-9.96,24.32,127.26,-0.59
1741962944.04,0.041,-0.081,-0.014,-1.998,-0.208,-0.696,-12.34,24.15,127.55,-0.59
1741962944.06,-0.021,-0.096,-0.015,-2.030,-0.033,-0.817,-14.79,24.06,127.69,-0.59
1741962944.08,0.004,-0.054,0.069,-2.075,-0.064,-0.785,-17.33,24.03,127.81,-0.59
1741962944.10,0.009,-0.052,0.064,-1.918,-0.226,-0.772,-19.76,23.94,127.95,-0.59
1741962944.12,-0.036,-0.096,-0.004,-1.869,-0.285,-0.860,-22.10,23.62,127.96,-0.59
1741962944.14,-0.063,-0.090,-0.069,-1.848,-0.193,-0.926,-24.46,23.30,127.87,-0.59
1741962944.16,-0.067,-0.030,0.060,-1.841,-0.014,-1.000,-26.82,23.09,127.67,-0.59
1741962944.18,-0.075,-0.019,0.189,-1.802,0.168,-1.082,-29.22,23.05,127.35,-0.59
1741962944.20,-0.044,-0.093,-0.091,-1.609,-0.154,-0.943,-31.46,22.88,126.98,-0.59
