Time,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,Pitch,Roll,Yaw
1747667765.29,-0.002,0.016,-0.036,0.049,-0.098,-0.018,-87.101,-2.084,-14.066
1747667765.30,-0.025,0.026,-0.016,0.045,-0.075,0.007,-87.072,-2.200,-14.133
1747667765.30,-0.028,0.021,0.005,0.032,-0.045,0.003,-87.047,-2.164,-14.060
1747667765.31,-0.024,0.003,0.006,0.008,-0.005,-0.009,-87.031,-2.215,-14.098
1747667765.32,-0.006,-0.027,0.019,-0.022,0.017,-0.008,-87.034,-2.237,-14.124
1747667765.33,0.014,-0.040,0.019,-0.031,0.011,-0.008,-87.050,-2.122,-14.018
1747667765.34,0.030,-0.027,0.003,-0.017,-0.004,-0.003,-87.061,-1.933,-13.832
1747667765.35,0.036,-0.002,-0.010,-0.009,-0.029,0.014,-87.061,-1.770,-13.659
1747667765.36,0.037,0.019,-0.009,-0.008,-0.041,0.011,-87.059,-1.655,-13.524
1747667765.37,0.028,0.027,0.007,0.014,-0.046,0.006,-87.054,-1.687,-13.532
1747667765.38,0.010,0.021,0.008,0.028,-0.067,-0.006,-87.042,-1.846,-13.659
1747667765.39,-0.014,0.008,-0.001,0.037,-0.078,-0.027,-87.023,-2.176,-13.947
1747667765.40,-0.029,-0.002,-0.004,0.048,-0.064,-0.028,-87.002,-2.536,-14.266
1747667765.41,-0.033,-0.005,-0.004,0.043,-0.020,-0.029,-86.978,-2.786,-14.494
1747667765.42,-0.035,-0.005,0.013,0.032,0.014,-0.031,-86.957,-2.966,-14.674
1747667765.43,-0.034,-0.002,0.022,0.024,0.013,-0.029,-86.939,-3.099,-14.816
1747667765.44,-0.028,-0.005,0.022,0.011,0.015,-0.031,-86.926,-3.253,-14.978
1747667765.45,-0.013,-0.013,0.026,0.002,0.020,-0.017,-86.925,-3.378,-15.113
1747667765.46,0.007,-0.020,0.025,-0.006,0.023,-0.005,-86.928,-3.446,-15.194
1747667765.47,0.014,-0.013,0.023,0.008,0.015,0.006,-86.928,-3.493,-15.252
1747667765.48,0.010,0.001,0.020,0.020,-0.006,0.020,-86.920,-3.470,-15.232
1747667765.49,0.004,0.011,0.014,0.042,-0.032,0.019,-86.902,-3.389,-15.138
1747667765.50,0.004,0.013,0.002,0.065,-0.029,0.017,-86.874,-3.346,-15.076
1747667765.51,0.001,0.012,-0.003,0.059,0.008,0.010,-86.846,-3.380,-15.103
1747667765.52,-0.004,0.009,0.009,0.065,0.018,0.004,-86.820,-3.464,-15.195
1747667765.53,-0.020,0.000,0.017,0.074,-0.021,0.006,-86.790,-3.487,-15.218
1747667765.54,-0.039,-0.003,0.005,0.057,-0.055,0.016,-86.763,-3.299,-15.006
1747667765.55,-0.049,0.004,0.010,0.041,-0.063,0.011,-86.745,-3.077,-14.751
1747667765.56,-0.053,0.018,0.031,0.045,-0.053,0.006,-86.729,-2.959,-14.598
1747667765.57,-0.047,0.022,0.043,0.051,0.007,0.016,-86.708,-2.832,-14.456
1747667765.58,-0.033,0.010,0.060,0.054,0.075,0.033,-86.681,-2.525,-14.173
1747667765.59,-0.023,-0.007,0.075,0.070,0.087,0.046,-86.647,-2.053,-13.747
1747667765.60,-0.029,-0.020,0.047,0.080,0.099,0.062,-86.609,-1.493,-13.238
1747667765.61,-0.028,-0.031,0.023,0.063,0.117,0.096,-86.575,-0.783,-12.588
1747667765.62,-0.014,-0.039,0.035,0.061,0.120,0.117,-86.545,0.086,-11.785
1747667765.63,-0.002,-0.032,0.030,0.110,0.065,0.120,-86.501,0.954,-10.970
1747667765.64,-0.003,-0.034,-0.019,0.171,0.016,0.115,-86.429,1.780,-10.163
1747667765.65,-0.003,-0.036,-0.073,0.200,0.000,0.111,-86.327,2.663,-9.282
1747667765.66,0.019,-0.022,-0.089,0.223,-0.019,0.090,-86.208,3.403,-8.533
1747667765.67,0.039,-0.000,-0.086,0.255,0.011,0.070,-86.073,3.925,-8.005
1747667765.68,0.053,0.019,-0.074,0.282,0.062,0.043,-85.920,4.234,-7.717
1747667765.69,0.040,0.036,-0.061,0.315,0.065,0.032,-85.750,4.374,-7.616
1747667765.70,0.005,0.039,-0.044,0.376,0.032,0.027,-85.556,4.392,-7.628
1747667765.71,-0.028,0.037,-0.035,0.427,-0.010,0.077,-85.324,4.506,-7.520
1747667765.72,-0.030,0.024,-0.051,0.390,-0.017,0.175,-85.084,5.099,-6.916
1747667765.73,0.012,-0.015,-0.038,0.354,-0.005,0.248,-84.859,6.235,-5.770
1747667765.74,0.068,-0.047,-0.028,0.328,0.012,0.270,-84.644,7.601,-4.400
1747667765.75,0.110,-0.048,0.001,0.292,-0.035,0.264,-84.447,8.918,-3.074
1747667765.76,0.112,-0.038,0.064,0.284,-0.148,0.261,-84.260,10.088,-1.847
1747667765.77,0.088,-0.038,0.075,0.295,-0.234,0.249,-84.072,11.083,-0.736
1747667765.78,0.079,-0.030,0.058,0.307,-0.311,0.225,-83.876,11.857,0.199
1747667765.79,0.075,0.005,0.054,0.331,-0.385,0.181,-83.675,12.348,0.894
1747667765.80,0.059,0.044,0.055,0.380,-0.453,0.145,-83.457,12.521,1.310
1747667765.81,0.032,0.060,0.048,0.440,-0.499,0.129,-83.213,12.469,1.533
1747667765.82,0.000,0.044,0.027,0.529,-0.510,0.099,-82.927,12.217,1.570
1747667765.83,-0.040,0.026,-0.010,0.538,-0.495,0.049,-82.618,11.752,1.392
1747667765.84,-0.090,0.022,-0.009,0.568,-0.413,0.040,-82.307,11.192,1.090
1747667765.85,-0.132,0.012,0.007,0.607,-0.264,0.060,-81.971,10.740,0.830
1747667765.86,-0.163,0.006,0.006,0.611,-0.142,0.085,-81.621,10.466,0.669
1747667765.87,-0.194,0.008,0.015,0.616,0.004,0.120,-81.266,10.377,0.621
1747667765.88,-0.198,0.005,0.027,0.597,0.152,0.171,-80.909,10.539,0.738
1747667765.89,-0.171,-0.006,0.054,0.618,0.237,0.200,-80.551,10.901,0.990
1747667765.90,-0.147,-0.016,0.032,0.658,0.277,0.223,-80.169,11.326,1.272
1747667765.91,-0.097,-0.021,-0.018,0.643,0.320,0.298,-79.773,11.889,1.671
1747667765.92,0.019,-0.023,0.014,0.597,0.300,0.359,-79.388,12.676,2.286
1747667765.93,0.139,-0.005,0.082,0.634,0.137,0.312,-79.005,13.385,2.877
1747667765.94,0.193,0.028,0.103,0.746,-0.037,0.262,-78.585,13.741,3.213
1747667765.95,0.206,0.049,0.090,0.842,-0.145,0.242,-78.109,13.832,3.361
1747667765.96,0.181,0.050,0.083,0.889,-0.239,0.232,-77.595,13.789,3.428
1747667765.97,0.103,0.043,0.079,0.901,-0.377,0.196,-77.069,13.608,3.424
1747667765.98,-0.024,0.039,0.073,0.915,-0.395,0.134,-76.542,13.259,3.300
1747667765.99,-0.131,0.040,0.074,0.897,-0.269,0.057,-76.023,12.810,3.033
