Time,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,Pitch,Roll,Yaw
1747655907.50,0.011,0.000,-0.009,0.005,-0.090,0.022,-85.517,49.372,48.387
1747655907.51,0.016,-0.001,-0.006,0.008,-0.080,0.016,-85.507,49.369,48.433
1747655907.52,0.013,-0.003,-0.002,0.005,-0.084,0.011,-85.500,49.331,48.441
1747655907.53,-0.000,-0.000,0.003,0.003,-0.097,0.004,-85.494,49.312,48.474
1747655907.54,-0.012,0.002,0.002,0.010,-0.109,0.010,-85.487,49.285,48.507
1747655907.55,-0.015,-0.003,-0.002,0.016,-0.116,0.020,-85.474,49.233,48.518
1747655907.56,-0.012,-0.009,-0.003,0.024,-0.121,0.027,-85.455,49.169,48.522
1747655907.57,-0.004,-0.006,-0.000,0.043,-0.121,0.037,-85.428,49.073,48.495
1747655907.58,0.008,-0.005,0.003,0.061,-0.120,0.045,-85.389,48.923,48.414
1747655907.59,0.018,-0.004,0.002,0.074,-0.114,0.057,-85.340,48.748,48.303
1747655907.60,0.017,0.007,0.006,0.085,-0.096,0.051,-85.285,48.542,48.157
1747655907.61,0.002,0.020,0.012,0.094,-0.078,0.032,-85.234,48.219,47.882
1747655907.62,-0.020,0.035,0.016,0.096,-0.050,0.036,-85.185,47.843,47.542
1747655907.63,-0.045,0.025,0.019,0.075,-0.025,0.038,-85.136,47.552,47.272
1747655907.64,-0.061,-0.006,0.020,0.066,0.008,0.028,-85.097,47.333,47.058
1747655907.65,-0.055,-0.016,0.025,0.064,0.027,0.033,-85.059,47.168,46.881
1747655907.66,-0.030,-0.012,0.030,0.070,0.038,0.043,-85.018,47.052,46.746
1747655907.67,-0.002,-0.001,0.030,0.084,0.025,0.045,-84.969,46.906,46.580
1747655907.68,0.014,0.010,0.027,0.095,0.015,0.047,-84.915,46.719,46.382
1747655907.69,0.016,0.013,0.019,0.118,0.003,0.043,-84.856,46.436,46.092
1747655907.70,0.009,0.017,0.016,0.121,-0.021,0.039,-84.793,46.061,45.722
1747655907.71,-0.000,0.013,0.015,0.114,-0.025,0.039,-84.735,45.665,45.340
1747655907.72,-0.001,-0.013,0.013,0.114,-0.024,0.038,-84.678,45.307,44.994
1747655907.73,0.007,-0.027,0.008,0.124,-0.049,0.032,-84.621,44.913,44.619
1747655907.74,0.004,-0.015,-0.003,0.141,-0.045,0.037,-84.556,44.484,44.217
1747655907.75,-0.002,-0.001,-0.005,0.155,-0.022,0.045,-84.480,44.046,43.796
1747655907.76,-0.005,0.004,0.002,0.170,-0.016,0.040,-84.398,43.578,43.335
1747655907.77,-0.006,0.006,-0.010,0.174,-0.040,0.045,-84.311,43.082,42.852
1747655907.78,-0.005,0.005,-0.021,0.189,-0.069,0.044,-84.218,42.550,42.348
1747655907.79,0.006,0.006,-0.028,0.201,-0.080,0.056,-84.118,41.987,41.826
1747655907.80,0.019,0.010,-0.028,0.213,-0.064,0.056,-84.010,41.429,41.306
1747655907.81,0.022,0.005,-0.011,0.229,-0.067,0.059,-83.894,40.852,40.762
1747655907.82,0.011,-0.009,-0.002,0.243,-0.074,0.063,-83.769,40.243,40.191
1747655907.83,0.004,-0.023,-0.008,0.246,-0.087,0.068,-83.640,39.643,39.634
1747655907.84,0.010,-0.027,-0.001,0.265,-0.081,0.087,-83.501,39.090,39.126
1747655907.85,0.019,-0.026,0.011,0.285,-0.084,0.088,-83.348,38.523,38.602
1747655907.86,0.021,-0.016,0.009,0.310,-0.107,0.087,-83.184,37.905,38.033
1747655907.87,0.008,-0.002,-0.004,0.336,-0.140,0.087,-83.007,37.235,37.430
1747655907.88,-0.008,0.012,-0.015,0.367,-0.148,0.088,-82.814,36.510,36.784
1747655907.88,-0.027,0.020,-0.012,0.374,-0.126,0.087,-82.613,35.787,36.134
1747655907.90,-0.037,0.015,0.009,0.392,-0.100,0.084,-82.408,35.079,35.484
1747655907.91,-0.037,0.002,0.025,0.421,-0.104,0.092,-82.188,34.345,34.801
1747655907.92,-0.026,-0.015,0.021,0.438,-0.117,0.097,-81.954,33.623,34.136
1747655907.93,-0.008,-0.025,0.010,0.464,-0.134,0.112,-81.707,32.922,33.499
1747655907.93,0.016,-0.020,-0.013,0.498,-0.145,0.115,-81.440,32.212,32.862
1747655907.95,0.037,-0.000,-0.031,0.513,-0.140,0.102,-81.162,31.478,32.201
1747655907.95,0.039,0.018,-0.012,0.525,-0.139,0.092,-80.880,30.726,31.520
1747655907.96,0.024,0.022,0.011,0.522,-0.151,0.082,-80.596,29.981,30.848
1747655907.97,-0.004,0.014,0.020,0.525,-0.160,0.087,-80.313,29.263,30.211
1747655907.98,-0.029,0.003,0.037,0.558,-0.173,0.106,-80.016,28.580,29.614
1747655907.99,-0.035,-0.004,0.042,0.569,-0.182,0.125,-79.701,27.947,29.076
1747655908.01,-0.035,-0.004,0.033,0.584,-0.138,0.134,-79.376,27.385,28.597
1747655908.01,-0.023,-0.010,0.038,0.627,-0.066,0.138,-79.032,26.862,28.125
1747655908.02,-0.007,-0.009,0.030,0.650,-0.028,0.120,-78.673,26.344,27.622
1747655908.03,-0.013,0.006,0.037,0.673,-0.035,0.102,-78.306,25.791,27.076
1747655908.04,-0.035,0.021,0.036,0.658,-0.018,0.097,-77.937,25.233,26.522
1747655908.05,-0.043,0.033,0.038,0.583,-0.028,0.101,-77.591,24.761,26.051
1747655908.06,-0.047,0.042,0.079,0.555,-0.045,0.120,-77.272,24.395,25.698
1747655908.07,-0.062,0.028,0.095,0.565,-0.016,0.148,-76.948,24.108,25.423
1747655908.08,-0.068,-0.005,0.070,0.567,0.018,0.175,-76.615,23.906,25.214
1747655908.09,-0.049,-0.027,0.061,0.546,0.004,0.192,-76.283,23.784,25.082
1747655908.10,-0.021,-0.029,0.044,0.560,-0.030,0.175,-75.952,23.660,24.961
1747655908.11,0.006,-0.013,0.017,0.627,-0.062,0.126,-75.609,23.416,24.737
1747655908.12,0.035,0.014,-0.021,0.704,-0.108,0.085,-75.235,22.997,24.355
1747655908.13,0.048,0.039,-0.042,0.721,-0.126,0.062,-74.842,22.478,23.889
1747655908.14,0.037,0.043,-0.011,0.729,-0.069,0.062,-74.446,21.973,23.425
1747655908.15,0.016,0.020,0.037,0.740,0.024,0.061,-74.043,21.521,22.970
1747655908.16,-0.023,-0.009,0.032,0.710,0.081,0.091,-73.640,21.170,22.572
1747655908.17,-0.060,-0.029,0.011,0.636,0.077,0.134,-73.257,20.950,22.294
1747655908.18,-0.081,-0.033,0.008,0.577,0.118,0.167,-72.905,20.862,22.148
1747655908.19,-0.078,-0.034,0.014,0.548,0.207,0.173,-72.571,20.885,22.072
1747655908.20,-0.032,-0.026,0.026,0.562,0.166,0.174,-72.241,20.937,22.086
