Time,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,Pitch,Roll,Yaw
1747602427.48,0.022,-0.016,-0.013,0.009,-0.011,0.028,-80.855,41.529,9.530
1747602427.49,-0.016,-0.000,-0.030,0.009,-0.051,0.043,-80.822,41.665,9.699
1747602427.51,-0.031,0.003,-0.020,0.007,-0.078,0.034,-80.782,41.765,9.875
1747602427.53,0.001,-0.002,-0.034,0.014,-0.076,0.029,-80.741,41.751,9.949
1747602427.55,0.033,-0.005,-0.045,0.006,-0.093,0.041,-80.701,41.833,10.130
1747602427.57,0.024,0.006,-0.044,-0.000,-0.138,0.039,-80.662,41.868,10.299
1747602427.59,-0.017,0.001,-0.029,-0.025,-0.120,0.028,-80.647,41.895,10.490
1747602427.61,-0.029,-0.023,-0.011,-0.050,-0.062,0.023,-80.657,42.057,10.752
1747602427.63,-0.005,-0.013,-0.030,-0.077,-0.107,0.019,-80.685,42.394,11.178
1747602427.65,0.004,-0.002,-0.046,-0.096,-0.145,0.025,-80.731,42.696,11.645
1747602427.67,-0.013,-0.017,-0.005,-0.108,-0.090,0.045,-80.781,43.205,12.293
1747602427.69,-0.070,0.004,-0.005,-0.135,-0.026,0.023,-80.852,43.868,13.040
1747602427.71,-0.083,-0.003,0.002,-0.188,0.030,0.024,-80.964,44.754,13.923
1747602427.73,-0.049,-0.010,0.028,-0.261,0.070,0.053,-81.108,46.101,15.241
1747602427.75,0.005,-0.006,0.077,-0.299,0.128,0.099,-81.258,48.155,17.189
1747602427.77,-0.023,0.012,0.027,-0.321,0.097,0.053,-81.420,50.421,19.360
1747602427.79,-0.010,-0.007,0.044,-0.292,0.189,-0.012,-81.629,52.533,21.335
1747602427.81,0.052,-0.039,0.031,-0.250,0.195,-0.002,-81.831,54.402,22.984
1747602427.83,0.105,0.026,0.014,-0.187,0.102,0.041,-81.951,56.106,24.535
1747602427.85,0.135,0.039,0.036,-0.189,-0.071,0.051,-82.021,57.640,26.052
1747602427.87,0.106,-0.033,0.035,-0.157,-0.277,0.023,-82.089,58.789,27.418
1747602427.89,0.038,-0.018,0.028,-0.056,-0.411,-0.010,-82.147,59.246,28.280
1747602427.91,-0.054,0.059,-0.011,0.052,-0.350,-0.059,-82.181,58.615,28.116
1747602427.93,-0.111,0.048,-0.006,0.125,-0.075,-0.072,-82.195,57.401,27.146
1747602427.95,-0.068,-0.009,0.008,0.101,0.245,-0.000,-82.162,56.508,26.143
1747602427.97,-0.000,-0.038,-0.008,0.131,0.459,0.102,-82.042,56.396,25.612
1747602427.99,0.052,-0.030,-0.056,0.181,0.500,0.106,-81.837,56.445,25.098
1747602428.01,0.135,-0.008,-0.090,0.285,0.432,0.053,-81.618,55.886,23.987
1747602428.03,0.117,0.017,-0.096,0.411,0.199,0.013,-81.349,54.166,21.864
1747602428.05,0.035,-0.008,-0.101,0.481,0.143,-0.052,-81.061,51.552,19.072
1747602428.07,0.120,-0.019,0.054,0.336,0.433,0.031,-80.769,49.440,16.605
1747602428.09,0.162,0.076,0.251,0.197,0.425,0.075,-80.526,48.949,15.560
1747602428.11,0.115,-0.007,0.191,0.219,-0.065,-0.046,-80.356,48.298,14.662
